date,gross_pnl,gross_notional,long_notional,short_notional,borrow_cost,n_long,n_short,n_positions,n_cap_binding,pct_cap_binding,max_participation,gross_exposure,entry_turnover,exit_turnover,roundtrip_turnover,gross_return,trading_cost_return,commission_return,slippage_return,trading_cost,borrow_cost_return,return_after_commission,return_after_slippage,net_return_before_borrow,net_return,gross_return_bps,commission_bps,slippage_bps,borrow_bps,net_return_bps,hit_full_gross,capacity_constrained
2020-09-30,172047.1488565633,250000000.0,125000000.00000001,125000000.0,3863.8938909079957,99,99,198,31,0.15656565656565657,0.049999999999999996,1.0,1.0,1.0,2.0,0.0006881885954262532,0.0004,0.0001,0.0003,100000.0,1.5455575563631983e-05,0.0005881885954262531,0.00028818859542625316,0.00028818859542625316,0.0002727330198626212,6.881885954262532,1.0,2.9999999999999996,0.15455575563631982,2.727330198626212,True,False
2020-10-01,-1781408.3748878955,250000000.0,124999999.99999997,125000000.00000003,3192.249289453291,99,99,198,44,0.2222222222222222,0.05000000000000001,1.0,1.0,1.0,2.0,-0.0071256334995515825,0.0004,0.0001,0.0003,100000.0,1.2768997157813164e-05,-0.007225633499551583,-0.007525633499551583,-0.007525633499551583,-0.007538402496709396,-71.25633499551583,1.0,2.9999999999999996,0.12768997157813164,-75.38402496709396,True,False
2020-10-02,882220.127118697,250000000.0,124999999.99999999,124999999.99999997,4251.454363698697,99,99,198,46,0.23232323232323232,0.05,1.0,1.0,1.0,2.0,0.003528880508474788,0.0004,0.0001,0.0003,100000.0,1.700581745479479e-05,0.0034288805084747884,0.0031288805084747884,0.0031288805084747884,0.0031118746910199935,35.288805084747885,1.0,2.9999999999999996,0.17005817454794792,31.118746910199935,True,False
2020-10-05,-455149.3341860137,250000000.0,125000000.00000001,125000000.0,3543.5947155438134,99,99,198,54,0.2727272727272727,0.049999999999999996,1.0,1.0,1.0,2.0,-0.0018205973367440547,0.0004,0.0001,0.0003,100000.0,1.4174378862175254e-05,-0.0019205973367440547,-0.002220597336744055,-0.002220597336744055,-0.00223477171560623,-18.205973367440546,1.0,2.9999999999999996,0.14174378862175255,-22.347717156062302,True,False
2020-10-06,473499.7916635442,250000000.0,125000000.0,124999999.99999999,3529.8526422682166,98,98,196,50,0.25510204081632654,0.05,1.0,1.0,1.0,2.0,0.0018939991666541767,0.0004,0.0001,0.0003,100000.0,1.4119410569072866e-05,0.0017939991666541767,0.0014939991666541768,0.0014939991666541768,0.001479879756085104,18.93999166654177,1.0,2.9999999999999996,0.14119410569072866,14.798797560851039,True,False
2020-10-07,819001.4237779261,250000000.0,125000000.00000001,125000000.0,3631.0232498166188,99,99,198,43,0.21717171717171718,0.049999999999999996,1.0,1.0,1.0,2.0,0.0032760056951117045,0.0004,0.0001,0.0003,100000.0,1.4524092999266476e-05,0.0031760056951117047,0.002876005695111705,0.002876005695111705,0.0028614816021124384,32.76005695111704,1.0,2.9999999999999996,0.14524092999266475,28.614816021124383,True,False
2020-10-08,279738.8691258675,250000000.00000003,125000000.00000003,125000000.00000001,3980.450100048,99,99,198,36,0.18181818181818182,0.05000000000000001,1.0000000000000002,1.0000000000000002,1.0000000000000002,2.0000000000000004,0.00111895547650347,0.00040000000000000013,0.00010000000000000003,0.00030000000000000003,100000.00000000003,1.5921800400192e-05,0.00101895547650347,0.0007189554765034699,0.0007189554765034699,0.0007030336761032779,11.1895547650347,1.0000000000000002,3.0000000000000004,0.15921800400192,7.030336761032779,True,False
2020-10-09,265597.2902914595,250000000.0,124999999.99999996,125000000.00000001,3874.79812540914,99,99,198,36,0.18181818181818182,0.05,1.0,1.0,1.0,2.0,0.0010623891611658378,0.0004,0.0001,0.0003,100000.0,1.549919250163656e-05,0.0009623891611658377,0.0006623891611658378,0.0006623891611658378,0.0006468899686642013,10.623891611658378,1.0,2.9999999999999996,0.1549919250163656,6.468899686642012,True,False
2020-10-12,-784258.5993975035,249999999.99999994,124999999.99999996,124999999.99999997,4385.567223404245,98,98,196,32,0.16326530612244897,0.049999999999999996,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.9999999999999996,-0.003137034397590014,0.0003999999999999999,9.999999999999998e-05,0.0002999999999999999,99999.99999999997,1.754226889361698e-05,-0.003237034397590014,-0.003537034397590014,-0.003537034397590014,-0.003554576666483631,-31.37034397590014,0.9999999999999998,2.999999999999999,0.1754226889361698,-35.545766664836314,True,False
2020-10-13,509554.48479473795,249999999.99999997,125000000.00000001,124999999.99999999,5322.811123995251,97,97,194,63,0.3247422680412371,0.05000000000000001,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.9999999999999998,0.0020382179391789518,0.00039999999999999996,9.999999999999999e-05,0.0002999999999999999,99999.99999999999,2.1291244495981007e-05,0.0019382179391789517,0.0016382179391789518,0.0016382179391789518,0.0016169266946829707,20.382179391789517,0.9999999999999999,2.999999999999999,0.21291244495981007,16.16926694682971,True,False
