date,score_spread,n_candidates,n_each_side,spread_threshold,spread_threshold_high,gross_multiplier
2022-03-30,0.00130130292044587,983,4,0.0012074442130888077,0.0015093052663610095,0.5
2022-03-31,0.0011766400590055622,994,4,0.001208033075191086,0.0015100413439888575,0.0
2022-04-01,0.0012298015174118644,994,4,0.0012074442130888077,0.0015093052663610095,0.5
2022-04-04,0.0011591459551461277,992,4,0.0012074442130888077,0.0015093052663610095,0.0
2022-04-05,0.0012959595792269587,989,4,0.001206743594823002,0.0015084294935287525,0.5
2022-04-06,0.0013266215131107766,990,4,0.0012074442130888077,0.0015093052663610095,0.5
2022-04-07,0.0012516892599698597,992,4,0.0012074442130888077,0.0015093052663610095,0.5
2022-04-08,0.0013399545989745934,992,4,0.0012074442130888077,0.0015093052663610095,0.5
2022-04-11,0.0013064443719585132,989,4,0.001208033075191086,0.0015100413439888575,0.5
2022-04-12,0.001292530789764202,982,4,0.0012083072223753393,0.001510384027969174,0.5
2022-04-13,0.001239888368621602,981,4,0.0012087059850871417,0.001510882481358927,0.5
2022-04-14,0.0012203258556311813,985,4,0.0012087059850871417,0.001510882481358927,0.5
2022-04-18,0.0011379393071200149,963,4,0.0012087059850871417,0.001510882481358927,0.0
2022-04-19,0.0010859875508268035,917,4,0.0012087059850871417,0.001510882481358927,0.0
2022-04-20,0.0011393123252451051,912,4,0.0012087059850871417,0.001510882481358927,0.0
2022-04-21,0.0009991852498986804,927,4,0.0012087059850871417,0.001510882481358927,0.0
2022-04-22,0.0011266221213999368,925,4,0.0012087059850871417,0.001510882481358927,0.0
2022-04-25,0.0011683209165303432,872,4,0.0012087059850871417,0.001510882481358927,0.0
2022-04-26,0.0013733406277880629,766,3,0.0012087059850871417,0.001510882481358927,0.5
2022-04-27,0.0012306852249925771,751,3,0.0012087059850871417,0.001510882481358927,0.5
2022-04-28,0.001179158396796786,814,4,0.0012087059850871417,0.001510882481358927,0.0
2022-04-29,0.0010848605493494888,855,4,0.0012083072223753393,0.001510384027969174,0.0
2022-05-02,0.0010080649070623889,846,4,0.0012083072223753393,0.001510384027969174,0.0
2022-05-03,0.0010720500142448808,756,3,0.0012083072223753393,0.001510384027969174,0.0
2022-05-04,0.0009608307651120982,766,3,0.0012083072223753393,0.001510384027969174,0.0
2022-05-05,0.0009938661883018448,826,4,0.0012083072223753393,0.001510384027969174,0.0
2022-05-06,0.001044872250685371,891,4,0.0012083072223753393,0.001510384027969174,0.0
2022-05-09,0.00110208889095223,930,4,0.0012083072223753393,0.001510384027969174,0.0
2022-05-10,0.0011787960758197524,938,4,0.0012083072223753393,0.001510384027969174,0.0
2022-05-11,0.0011787548250587554,972,4,0.0012083072223753393,0.001510384027969174,0.0
2022-05-12,0.001192420557847049,991,4,0.0012083072223753393,0.001510384027969174,0.0
2022-05-13,0.0013080116600140488,991,4,0.0012083072223753393,0.001510384027969174,0.5
2022-05-16,0.0009663625414972376,988,4,0.0012083072223753393,0.001510384027969174,0.0
2022-05-17,0.0012079574820056832,979,4,0.001208033075191086,0.0015100413439888575,0.0
2022-05-18,0.0011759375630253609,973,4,0.0012080656878954445,0.0015100821098693058,0.0
2022-05-19,0.0011153441212660904,978,4,0.0012079248693013247,0.0015099060866266558,0.0
2022-05-20,0.0008605741892664315,982,4,0.0012079248693013247,0.0015099060866266558,0.0
2022-05-23,0.0009221257819834007,987,4,0.0012079248693013247,0.0015099060866266558,0.0
2022-05-24,0.0008803475561652877,974,4,0.0012074442130888077,0.0015093052663610095,0.0
2022-05-25,0.0010729698752723624,968,4,0.001206743594823002,0.0015084294935287525,0.0
2022-05-26,0.0011302627014465928,971,4,0.001206205175537495,0.0015077564694218689,0.0
2022-05-27,0.0008055788855531274,985,4,0.0012042394254818123,0.0015052992818522654,0.0
2022-05-31,0.0007282643585213681,983,4,0.0012042394254818123,0.0015052992818522654,0.0
2022-06-01,0.0007067835409675504,978,4,0.0012022743130872774,0.0015028428913590967,0.0
2022-06-02,0.0006914644221916076,979,4,0.001201667029350915,0.0015020837866886437,0.0
2022-06-03,0.0007009317676627088,987,4,0.001201667029350915,0.0015020837866886437,0.0
2022-06-06,0.0007310755932024454,987,4,0.001201667029350915,0.0015020837866886437,0.0
2022-06-07,0.0007890860862018196,986,4,0.001201667029350915,0.0015020837866886437,0.0
2022-06-08,0.0007387686193006288,985,4,0.001201667029350915,0.0015020837866886437,0.0
2022-06-09,0.0007287634023585505,991,4,0.0012006642793042908,0.0015008303491303634,0.0
2022-06-10,0.0011347544062589934,992,4,0.0012006642793042908,0.0015008303491303634,0.0
2022-06-13,0.001183627294692019,995,4,0.0012006642793042908,0.0015008303491303634,0.0
2022-06-14,0.0012289545373894435,991,4,0.0012001546727755331,0.0015001933409694165,0.5
2022-06-15,0.0011826373726092564,991,4,0.001201667029350915,0.0015020837866886437,0.0
2022-06-16,0.0014263952487229602,989,4,0.001201667029350915,0.0015020837866886437,0.5
2022-06-17,0.00131736283264467,993,4,0.0012042394254818123,0.0015052992818522654,0.5
2022-06-21,0.0013329110971354147,990,4,0.001206205175537495,0.0015077564694218689,0.5
2022-06-22,0.001228184793840052,988,4,0.001206743594823002,0.0015084294935287525,0.5
2022-06-23,0.0012500357771960972,989,4,0.0012074442130888077,0.0015093052663610095,0.5
2022-06-24,0.0014664725380715386,989,4,0.0012079248693013247,0.0015099060866266558,0.5
2022-06-27,0.0015553089412401583,987,4,0.0012080656878954445,0.0015100821098693058,1.0
2022-06-28,0.0014742057123620094,982,4,0.0012080656878954445,0.0015100821098693058,0.5
2022-06-29,0.0014874349428579546,984,4,0.0012080656878954445,0.0015100821098693058,0.5
2022-06-30,0.00148476515791002,990,4,0.0012083072223753393,0.001510384027969174,0.5
2022-07-01,0.0014439836565261167,995,4,0.0012087059850871417,0.001510882481358927,0.5
2022-07-05,0.0016048767749114745,996,4,0.0012089226141136576,0.001511153267642072,1.0
2022-07-06,0.0015155880154149003,995,4,0.0012099807310229436,0.0015124759137786796,1.0
2022-07-07,0.0014200479086691458,995,4,0.001213168685223148,0.0015164608565289349,0.5
2022-07-08,0.0013183317064884288,995,4,0.0012149710516729893,0.0015187138145912366,0.5
2022-07-11,0.001391676886831754,993,4,0.0012151306896512177,0.0015189133620640222,0.5
2022-07-12,0.0013262097693385,989,4,0.0012158028300267726,0.0015197535375334656,0.5
2022-07-13,0.0014791225803841457,985,4,0.0012158028300267726,0.0015197535375334656,0.5
2022-07-14,0.0014520540045345766,984,4,0.0012168404930295285,0.0015210506162869107,0.5
2022-07-15,0.0014163780669389572,976,4,0.0012176952757458003,0.0015221190946822505,0.5
2022-07-18,0.0014308862053279761,963,4,0.0012176952757458003,0.0015221190946822505,0.5
2022-07-19,0.001269098133065743,917,4,0.0012176952757458003,0.0015221190946822505,0.5
2022-07-20,0.0012279800008707519,902,4,0.0012176952757458003,0.0015221190946822505,0.5
2022-07-21,0.0010780556956760303,918,4,0.0012181860630177347,0.0015227325787721684,0.0
2022-07-22,0.001108279449832521,922,4,0.0012176952757458003,0.0015221190946822505,0.0
2022-07-25,0.0010588947619662938,876,4,0.0012168404930295285,0.0015210506162869107,0.0
2022-07-26,0.0010422194622523085,758,3,0.0012158028300267726,0.0015197535375334656,0.0
2022-07-27,0.001113060226774037,748,3,0.0012151306896512177,0.0015189133620640222,0.0
2022-07-28,0.0010578618021684862,816,4,0.0012149710516729893,0.0015187138145912366,0.0
2022-07-29,0.0010105947003552626,874,4,0.001213168685223148,0.0015164608565289349,0.0
2022-08-01,0.0009708122925589688,867,4,0.0012099807310229436,0.0015124759137786796,0.0
2022-08-02,0.0010448619054825399,757,3,0.0012099807310229436,0.0015124759137786796,0.0
2022-08-03,0.0007781223676574509,755,3,0.0012099807310229436,0.0015124759137786796,0.0
2022-08-04,0.0010128226491670606,808,4,0.0012099807310229436,0.0015124759137786796,0.0
2022-08-05,0.0010324465088034265,886,4,0.0012099807310229436,0.0015124759137786796,0.0
2022-08-08,0.0007976798552336962,926,4,0.0012099807310229436,0.0015124759137786796,0.0
2022-08-09,0.0008143486978286311,926,4,0.0012089226141136576,0.001511153267642072,0.0
2022-08-10,0.0007350506013299987,957,4,0.0012087059850871417,0.001510882481358927,0.0
2022-08-11,0.0008847173325222111,980,4,0.0012083072223753393,0.001510384027969174,0.0
2022-08-12,0.0009038745939239994,985,4,0.0012080656878954445,0.0015100821098693058,0.0
2022-08-15,0.0008950313071592881,983,4,0.0012069812191257564,0.0015087265239071956,0.0
2022-08-16,0.0007745321785173764,972,4,0.0012042394254818123,0.0015052992818522654,0.0
2022-08-17,0.000797798303108874,971,4,0.001201667029350915,0.0015020837866886437,0.0
2022-08-18,0.0008443702712011115,978,4,0.0012001546727755331,0.0015001933409694165,0.0
2022-08-19,0.0007476692740487424,983,4,0.001199874066745721,0.0014998425834321513,0.0
2022-08-22,0.000883296034888181,985,4,0.0011985929359658713,0.001498241169957339,0.0
2022-08-23,0.0008971733395344965,974,4,0.0011983498030562064,0.001497937253820258,0.0
2022-08-24,0.0008280362927191741,975,4,0.00119716899370513,0.0014964612421314127,0.0
2022-08-25,0.000855854661703347,978,4,0.0011954923166195503,0.0014943653957744378,0.0
2022-08-26,0.0009506450872768806,988,4,0.0011947554343459878,0.0014934442929324847,0.0
2022-08-29,0.0009363213369912688,985,4,0.0011947554343459878,0.0014934442929324847,0.0
2022-08-30,0.0008761536422649471,972,4,0.0011947554343459878,0.0014934442929324847,0.0
2022-08-31,0.0009754010832171271,971,4,0.0011946997112104647,0.0014933746390130807,0.0
2022-09-01,0.0010710859903890523,980,4,0.0011939416540208752,0.001492427067526094,0.0
2022-09-02,0.0010752374974634556,993,4,0.0011939416540208752,0.001492427067526094,0.0
2022-09-06,0.0010808609071627463,991,4,0.0011939416540208752,0.001492427067526094,0.0
2022-09-07,0.0010208924727348355,986,4,0.0011939416540208752,0.001492427067526094,0.0
2022-09-08,0.0009917228559743253,988,4,0.0011939416540208752,0.001492427067526094,0.0
2022-09-09,0.0009619652870102731,991,4,0.0011932718111331388,0.0014915897639164236,0.0
2022-09-12,0.0008437033999299901,996,4,0.0011932718111331388,0.0014915897639164236,0.0
2022-09-13,0.0009484115452555315,995,4,0.001191868365865132,0.001489835457331415,0.0
2022-09-14,0.0009566926993349648,996,4,0.001191868365865132,0.001489835457331415,0.0
2022-09-15,0.0009003374902997236,995,4,0.0011901739476275854,0.0014877174345344817,0.0
2022-09-16,0.0010547113916592637,996,4,0.0011867757692151546,0.0014834697115189432,0.0
2022-09-19,0.001061623509556847,995,4,0.001183231325858914,0.0014790391573236425,0.0
2022-09-20,0.0009906288558468059,991,4,0.001183231325858914,0.0014790391573236425,0.0
2022-09-21,0.0009928098357409108,990,4,0.0011818518528958677,0.0014773148161198347,0.0
2022-09-22,0.0010827020990760972,991,4,0.0011818518528958677,0.0014773148161198347,0.0
2022-09-23,0.001102716498438391,994,4,0.0011818518528958677,0.0014773148161198347,0.0
2022-09-26,0.0010105331238625488,992,4,0.001180067502714185,0.0014750843783927314,0.0
2022-09-27,0.0010939631963660123,988,4,0.0011790134684059725,0.0014737668355074656,0.0
2022-09-28,0.0010015554349223018,987,4,0.0011787795755153535,0.001473474469394192,0.0
2022-09-29,0.0010370966803184408,990,4,0.0011783734003773584,0.0014729667504716978,0.0
2022-09-30,0.0010083113041342026,993,4,0.0011773367816153826,0.0014716709770192283,0.0
2022-10-03,0.0010614512565968442,993,4,0.0011763590606134818,0.001470448825766852,0.0
2022-10-04,0.001307933815851734,990,4,0.001174450513379509,0.0014680631417243865,0.5
2022-10-05,0.0013016417441177046,991,4,0.001174450513379509,0.0014680631417243865,0.5
2022-10-06,0.001366864745568109,994,4,0.001174450513379509,0.0014680631417243865,0.5
2022-10-07,0.0013612981575089498,997,4,0.001174450513379509,0.0014680631417243865,0.5
2022-10-10,0.0013772777319675852,996,4,0.001174450513379509,0.0014680631417243865,0.5
2022-10-11,0.0011906861659872101,991,4,0.001174450513379509,0.0014680631417243865,0.5
2022-10-12,0.0012814767450535433,985,4,0.001174450513379509,0.0014680631417243865,0.5
2022-10-13,0.00151429222786875,984,4,0.001174450513379509,0.0014680631417243865,1.0
2022-10-14,0.0015507852294668672,979,4,0.001174450513379509,0.0014680631417243865,1.0
2022-10-17,0.001424530798411202,959,4,0.001174450513379509,0.0014680631417243865,0.5
2022-10-18,0.0015237964106369285,919,4,0.001174450513379509,0.0014680631417243865,1.0
2022-10-19,0.0015152451959655334,908,4,0.001174450513379509,0.0014680631417243865,1.0
2022-10-20,0.0015092858841500812,934,4,0.001174450513379509,0.0014680631417243865,1.0
2022-10-21,0.0016312288767749935,929,4,0.001174450513379509,0.0014680631417243865,1.0
2022-10-24,0.0015828422937733105,878,4,0.001174450513379509,0.0014680631417243865,1.0
2022-10-25,0.0015202948855172216,771,3,0.001174450513379509,0.0014680631417243865,1.0
2022-10-26,0.0015104494975851075,757,3,0.001174450513379509,0.0014680631417243865,1.0
2022-10-27,0.0013637547288640928,822,4,0.001174450513379509,0.0014680631417243865,0.5
2022-10-28,0.0013242634538084012,864,4,0.001174450513379509,0.0014680631417243865,0.5
2022-10-31,0.0013001190440045847,855,4,0.0011763590606134818,0.001470448825766852,0.5
2022-11-01,0.0010802486063206697,767,3,0.0011779089186374782,0.001472386148296848,0.0
